predicted_index,gt_instance_id,voxel_iou,purity,coverage,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,61,0.05228531855955679,0.722488038277512,0.05335689045936396,0.012408088235294117,1.1453423470444128,True,False
1,58,0.16303647377239336,0.80470737913486,0.1697530864197531,0.06787802840434419,0.638407443652258,True,False
2,4,0.017878556633598604,0.784688995215311,0.01796669588080631,0.0017788019364684718,0.9258858964893216,True,False
4,66,0.2650948821161587,0.32441942294159043,0.5917843388960206,0.3203285420944558,0.6767038034699477,True,True
5,51,0.08812260536398467,0.48936170212765956,0.0970464135021097,0.0830130668716372,0.5131895378074203,False,False
7,10,0.15969209237228832,0.844559585492228,0.16452775775054074,0.05037753281508857,1.0624741603766332,False,False
8,35,0.1643059490084986,0.1657142857142857,0.9508196721311475,0.09428571428571429,0.2633581753792152,False,False
9,12,0.14018691588785046,0.8823529411764706,0.14285714285714285,0.03779289493575208,0.15792028477121978,True,False
11,14,0.2658072437077962,0.2772087067861716,0.866,0.15404651162790697,0.6104769300892979,False,False
13,63,0.12151898734177215,0.2096069868995633,0.22429906542056074,0.30505709624796085,0.32740573365717934,False,False
14,5,0.2108699827155752,0.6192893401015228,0.24227714033539277,0.1719998566667861,0.5632270390752809,False,False
18,24,0.031029619181946404,0.75,0.031353919239904986,0.0033679092059506373,0.9619206456509599,False,False
20,44,0.28405422853453843,0.4569055036344756,0.42884990253411304,0.26085001124353496,0.48949818675429313,False,False
21,7,0.22607781282860148,0.26039563988696,0.6317335945151812,0.283203125,0.2795945077699648,True,True
25,0,0.12329724065665386,0.23980978260869565,0.20240825688073394,0.03138105567606652,0.7912797072137908,False,False
27,9,0.2037914691943128,0.5013717421124828,0.2555944055944056,0.15855519755808037,1.4247001738408802,True,False
30,8,0.025032938076416336,1.0,0.025032938076416336,0.008062746818780166,0.8110692360155897,False,False
32,17,0.23660714285714285,1.0,0.23660714285714285,0.1048951048951049,0.1472776698139123,False,False
33,26,0.09917713295799047,0.09917713295799047,1.0,0.07894736842105263,0.1456514518250766,False,False
