ap_lift,auroc,average_precision,error_fraction_threshold,family,minimum_support,n,positives,prevalence,scene,score
0.14520697167755986,0.696969696969697,0.4981481481481481,0.1,association,3,17,6,0.35294117647058826,room0,voxel_second_region_residual
0.14520697167755986,0.696969696969697,0.4981481481481481,0.2,association,3,17,6,0.35294117647058826,room0,voxel_second_region_residual
0.23415032679738562,0.7884615384615385,0.46944444444444444,0.3,association,3,17,4,0.23529411764705882,room0,voxel_second_region_residual
0.17908496732026144,0.738095238095238,0.35555555555555557,0.4,association,3,17,3,0.17647058823529413,room0,voxel_second_region_residual
0.3007625272331154,0.7727272727272727,0.6537037037037037,0.1,association,3,17,6,0.35294117647058826,room0,voxel_owner_entropy_residual
0.3007625272331154,0.7727272727272727,0.6537037037037037,0.2,association,3,17,6,0.35294117647058826,room0,voxel_owner_entropy_residual
0.36470588235294116,0.75,0.6,0.3,association,3,17,4,0.23529411764705882,room0,voxel_owner_entropy_residual
0.4901960784313725,0.8333333333333333,0.6666666666666666,0.4,association,3,17,3,0.17647058823529413,room0,voxel_owner_entropy_residual
0.005193744164332326,0.3939393939393939,0.3581349206349206,0.1,association,3,17,6,0.35294117647058826,room0,framebalanced_disagreement_residual
0.005193744164332326,0.3939393939393939,0.3581349206349206,0.2,association,3,17,6,0.35294117647058826,room0,framebalanced_disagreement_residual
0.11887254901960781,0.5961538461538461,0.35416666666666663,0.3,association,3,17,4,0.23529411764705882,room0,framebalanced_disagreement_residual
0.14760348583877994,0.5952380952380952,0.32407407407407407,0.4,association,3,17,3,0.17647058823529413,room0,framebalanced_disagreement_residual
0.03891043596925953,0.4242424242424242,0.3918516124398478,0.1,association,3,17,6,0.35294117647058826,room0,nonspatial_label_entropy_residual
0.03891043596925953,0.4242424242424242,0.3918516124398478,0.2,association,3,17,6,0.35294117647058826,room0,nonspatial_label_entropy_residual
0.16946778711484595,0.6346153846153846,0.40476190476190477,0.3,association,3,17,4,0.23529411764705882,room0,nonspatial_label_entropy_residual
0.05236539060068471,0.5,0.22883597883597884,0.4,association,3,17,3,0.17647058823529413,room0,nonspatial_label_entropy_residual
0.09774424921483743,0.43939393939393934,0.4506854256854257,0.1,association,3,17,6,0.35294117647058826,room0,num_detections
0.09774424921483743,0.43939393939393934,0.4506854256854257,0.2,association,3,17,6,0.35294117647058826,room0,num_detections
-0.04182369917664036,0.25,0.19347041847041846,0.3,association,3,17,4,0.23529411764705882,room0,num_detections
-0.012160823925529807,0.30952380952380953,0.16430976430976432,0.4,association,3,17,3,0.17647058823529413,room0,num_detections
