scope,n_exclude,num_classes,point_count,miou,mrecall,mprecision,mf1score,fmiou,point_accuracy,acc0.15,acc0.25,acc0.50,acc0.75
room0,6,23,4085377,21.55000552842769,38.395104431426944,29.50385152889712,25.435641119226908,50.64034484751243,59.14810310039931,7,6,6,3
office0,6,19,4079896,21.793197266702265,40.555002611124216,26.2530655906959,25.70713856343825,33.12591415597954,36.26050762078249,7,6,4,2
all_available_ali_my,6,31,8165273,22.682650761685377,37.68113952354973,28.59798008662876,26.979844010327763,41.2774513281066,47.71198709461398,12,10,8,3
