predicted_index,gt_instance_id,voxel_iou,purity,coverage,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,49,0.23333333333333334,0.23333333333333334,1.0,0.12244897959183673,0.1415557121853631,True,False
1,12,0.28,0.5,0.3888888888888889,0.2376237623762376,0.30460821242432334,True,False
2,68,0.09251101321585903,0.20388349514563106,0.14482758620689656,0.1287711552612215,0.9178621712379775,False,False
5,2,0.35,0.6666666666666666,0.42424242424242425,0.08008008008008008,0.5451445556301887,True,False
6,48,0.06796116504854369,0.7,0.07,0.005251312828207052,1.145588656543002,False,False
10,47,0.12234042553191489,0.696969696969697,0.12921348314606743,0.10101010101010101,0.5297389046259059,False,False
12,40,0.2830188679245283,0.40059347181008903,0.4909090909090909,0.18072289156626506,0.28202153038976036,True,False
13,9,0.27229299363057324,0.57,0.342685370741483,0.16885553470919323,0.7670352172658083,True,False
14,25,0.20253164556962025,0.7619047619047619,0.21621621621621623,0.03537790029864461,0.8856412463801061,False,False
15,32,0.13402061855670103,0.28888888888888886,0.2,0.17073170731707318,0.529255007285244,True,False
17,60,0.21174764321972445,0.26118067978533094,0.5280289330922242,0.1700404858299595,0.7983968264702439,False,False
19,33,0.20431073192635832,0.49136069114470843,0.2591116173120729,0.07757227509427186,2.7339518831011262,False,False
20,39,0.045454545454545456,1.0,0.045454545454545456,0.020833333333333332,0.2576840792729418,True,True
21,0,0.07860696517412935,0.9634146341463414,0.07884231536926148,0.03867337164750958,0.5778139120656337,False,False
24,75,0.2413793103448276,0.9333333333333333,0.24561403508771928,0.25925925925925924,0.10367812491417208,True,False
26,61,0.11400651465798045,0.3763440860215054,0.14056224899598393,0.03389830508474576,1.2235606623465067,True,False
28,43,0.5584415584415584,0.7962962962962963,0.6515151515151515,0.6222222222222222,0.04752158780094415,True,False
29,55,0.21428571428571427,0.6,0.25,0.17647058823529413,0.2729968075718918,True,False
30,35,0.04411764705882353,0.21428571428571427,0.05263157894736842,0.21333333333333335,0.32215578720387716,True,False
31,72,0.3333333333333333,0.7384615384615385,0.3779527559055118,0.3333333333333333,0.27387203700488544,True,True
32,73,0.02620967741935484,1.0,0.02620967741935484,0.005128205128205128,0.7114407333801105,True,False
33,11,0.35927152317880795,0.3881932021466905,0.8282442748091603,0.3927272727272727,0.38675532042263794,True,False
34,78,0.5165289256198347,0.5868544600938967,0.8116883116883117,0.45454545454545453,0.18471373928075574,True,False
38,19,0.8888888888888888,0.9818181818181818,0.9037656903765691,1.0,0.02040593313149569,True,False
39,15,0.3643724696356275,0.3643724696356275,1.0,0.3643724696356275,0.4609772228646444,True,True
44,63,0.2841091492776886,0.28811720021703746,0.9533213644524237,0.17543859649122806,1.2139861635582214,False,False
45,21,0.1552346570397112,0.7413793103448276,0.16412213740458015,0.048458149779735685,0.5608188803379255,True,False
46,74,0.25132275132275134,0.6551724137931034,0.2896341463414634,0.08877928483353884,0.6900745739712746,True,False
47,64,0.03125,0.05263157894736842,0.07142857142857142,0.03225806451612903,0.582739630409688,False,False
50,22,0.10097719869706841,0.8611111111111112,0.10264900662251655,0.03676470588235294,0.5300916651016105,True,False
55,26,0.017964071856287425,1.0,0.017964071856287425,0.0009615384615384616,0.8812512007763763,True,False
56,83,0.22932330827067668,1.0,0.22932330827067668,0.13285024154589373,0.48294363903591864,True,False
58,38,0.15300546448087432,0.4148148148148148,0.1951219512195122,0.041720990873533245,1.0767502062881327,True,False
60,86,0.3170731707317073,0.7536231884057971,0.35374149659863946,0.13432835820895522,0.419496915705523,False,False
62,81,0.0075075075075075074,1.0,0.0075075075075075074,0.0007037297677691766,1.4810887280787959,False,False
63,88,0.26455906821963393,0.7654266958424507,0.28790123456790123,0.6865900383141762,1.0726833341998774,False,False
