predicted_index,gt_instance_id,voxel_iou,purity,coverage,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,49,0.21367521367521367,0.21404109589041095,0.9920634920634921,0.06940427993059572,0.12770560028466638,True,False
1,12,0.18992568125516102,0.3582554517133956,0.2878598247809762,0.2026266416510319,0.32049441850088556,True,False
2,68,0.07155445893549524,0.14295774647887324,0.12530864197530864,0.11332007952286283,0.8990864923311975,False,False
5,2,0.3363248491981757,0.6178378378378379,0.4246702582203232,0.022812922528120595,0.5846575158842283,True,False
6,48,0.06140350877192982,0.6220095693779905,0.06378355645896124,0.00391766124040268,1.1394840537859328,False,False
10,47,0.06313233508700931,0.5777777777777777,0.06618582944420874,0.053926525109538256,0.5245369060837765,False,False
12,40,0.2469289379567719,0.3334033172370355,0.4877149877149877,0.1747529427028897,0.310653375356332,True,False
13,9,0.22575704017909745,0.4947069455202685,0.2934150076569678,0.10297029702970296,0.8021325061686476,True,False
14,25,0.17681548460016955,0.8745632424877708,0.18141624990940058,0.023151239926984552,0.7214570026811936,False,False
15,75,0.2601307189542484,0.44124168514412415,0.38791423001949316,0.33507853403141363,0.16771889319910877,True,False
17,60,0.19867983197861547,0.24975997805513647,0.4927614666486267,0.08025418354536866,0.7891208761014279,False,False
19,33,0.17686946100230233,0.4957567185289958,0.21566742298965505,0.07087170952777193,2.6000960450442365,False,False
20,39,0.014861995753715499,0.9333333333333333,0.01487778958554729,0.003284072249589491,0.25220889447082206,True,True
21,0,0.0839910357595245,0.8368932038834952,0.08538880633977217,0.035625664657922725,0.5702299630478482,False,False
24,32,0.037283621837549935,0.32941176470588235,0.040345821325648415,0.015097748241822053,0.4311237396965094,True,False
26,61,0.08095676172953081,0.2827309236947791,0.10188133140376267,0.015699235695104317,1.1984728960273399,True,False
28,43,0.4131403118040089,0.6032520325203252,0.5672782874617737,0.6084656084656085,0.04482205226735493,True,False
29,55,0.15456238361266295,0.515527950310559,0.18082788671023964,0.08421311072919224,0.2955967493681076,True,False
30,35,0.03286384976525822,0.20192307692307693,0.03776978417266187,0.15280135823429541,0.2919137350003748,True,False
31,72,0.23919308357348704,0.5763888888888888,0.2902097902097902,0.2755778006771677,0.2876908342469288,True,True
32,73,0.009114583333333334,0.9824561403508771,0.009116067068207716,0.0023213640890927634,0.7953294415953889,True,False
33,11,0.2717523763100171,0.30950728660652327,0.6901887960383782,0.3274798291409587,0.39746477985101536,True,False
34,78,0.3733681462140992,0.4294294294294294,0.7409326424870466,0.4110726643598616,0.19129740060024156,True,False
38,19,0.8285065303804656,0.9643093192333113,0.8547158758055068,1.0,0.009084144638840079,True,False
39,15,0.36318013734812465,0.363692470463763,0.9961361989857522,0.18621088193456614,0.4243611966759125,True,True
44,63,0.28693757406628695,0.29879383782492736,0.8785112359550562,0.20038979447200567,1.2368979755046319,False,False
45,21,0.12738386308068458,0.6801566579634465,0.13550065019505853,0.022001819836214742,0.5370414273199717,True,False
46,74,0.16637443989869471,0.5474358974358975,0.1929071606053761,0.04901985391932934,0.7009870541923959,True,False
48,64,0.029802397149335923,0.02990897269180754,0.8932038834951457,0.011941618752764263,0.5132486682130256,False,False
55,22,0.050255102040816325,0.6459016393442623,0.05167890870933893,0.021994134897360705,0.5858780780382217,True,False
61,26,0.0030902348578491965,0.4166666666666667,0.0031036623215394167,0.0001282051282051282,0.9369193378154272,True,False
63,83,0.2114159046827376,0.9763275751759437,0.2125052221139117,0.1139780577001219,0.4540068429198043,True,False
66,38,0.09397640240115918,0.31549687282835304,0.11804472178887156,0.00992825459200381,1.1278284801900125,True,False
68,86,0.2143658810325477,0.6666666666666666,0.24010056568196103,0.06050926348453044,0.462832682288703,False,False
70,81,0.0041303083187899945,0.6826923076923077,0.0041382526082648485,0.00033342406096897116,1.4640770618338637,False,False
71,88,0.20604061160888196,0.8076831305177762,0.2166705072074148,0.05636579390598683,1.1406253663146193,False,False
