bbox_gap_voxels,contact_fraction_r1,contact_fraction_r2,duplicate_score_r1,duplicate_score_r2,exact_voxel_iou,gt_false_split_pair,gt_instance_id,gt_instance_label,label_hist_cosine,left_index,left_label,left_uid,min_distance_m,right_index,right_label,right_uid,scene,voxel_size_m
0,0.08064516129032258,0.24193548387096775,0.0005410430035690966,0.0016231290107072897,0.001112759643916914,True,10,ceiling,0.006708933244256797,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,0.0,30,person,e3f817bd-6d7a-4e13-abe0-077769bee533,office0,0.025
0,0.17073170731707318,0.4634146341463415,0.005915714785809599,0.016056940132911767,0.0009643201542912247,False,,,0.03464918660259907,7,closet door,f9871d19-ba20-4689-b1c9-3637d885018c,0.0,33,speaker,27c1ef8d-1a29-4f39-88a8-cdd6b7fe46d7,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.0020681821357576456,8,chair,9d5b4b06-4665-481a-953c-e71ecb925abd,0.21213203435596426,25,tissue box,e67ecfce-00ab-4f41-97e2-ab363fefea89,office0,0.025
0,0.0021065936380872128,0.013271539919949442,2.3738952202979403e-06,1.4955539887877026e-05,0.0,False,,,0.0011268880610754324,11,picture,a036bb7e-c379-40ec-9eda-f80c14c8ac52,0.025,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,office0,0.025
0,1.0,1.0,0.9117803987499552,0.9117803987499552,0.10784313725490197,True,5,rug,0.9117803987499552,12,storage bin,6d8a2ab3-581c-4cfa-a26f-4d2ca2783e47,0.0,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,office0,0.025
0,0.05014749262536873,0.1430678466076696,0.03420930583759576,0.0975971372425526,0.000561955605507165,True,5,rug,0.6821738046438214,12,storage bin,6d8a2ab3-581c-4cfa-a26f-4d2ca2783e47,0.0,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.0004011240829217943,13,stuffed animal,f73e4700-c9c6-4021-a23a-8c32740fe8bc,0.30000000000000004,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,office0,0.025
2,0.0,0.0,0.0,0.0,0.0,False,,,0.0,13,stuffed animal,f73e4700-c9c6-4021-a23a-8c32740fe8bc,0.325,17,power outlet,ba978909-8c9f-40bf-a313-897fe724a871,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.0,13,stuffed animal,f73e4700-c9c6-4021-a23a-8c32740fe8bc,0.18708286933869708,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
0,0.008849557522123894,0.025357385976855003,9.212912938173685e-06,2.6398538995920752e-05,0.0009027986758952753,False,,,0.0010410591620136265,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,0.0,15,refrigerator,84ce19e7-54b7-4cde-a9d6-5b4de113ed8e,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.9182281095314466,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,0.21213203435596426,16,potted plant,e6680a1b-b804-4601-8d51-8ff31b1c5255,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,True,5,rug,0.0,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,0.18371173070873836,17,power outlet,ba978909-8c9f-40bf-a313-897fe724a871,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.9182281095314465,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,0.114564392373896,19,potted plant,e001d156-eb97-421e-b8db-840ae462d701,office0,0.025
0,0.6906000693721818,0.7519944502254596,0.636675476575806,0.6932759584210685,0.2507496787091247,True,5,rug,0.9219163229372419,14,potted plant,11c2cbf2-0f87-4e84-9e34-027c95bc0095,0.0,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
0,0.00693721817551162,0.026014568158168574,3.1006003585229533e-06,1.1627251344461073e-05,9.699321047526673e-05,False,,,0.0004469515416810837,15,refrigerator,84ce19e7-54b7-4cde-a9d6-5b4de113ed8e,0.0,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,4.803597019873325e-11,15,refrigerator,84ce19e7-54b7-4cde-a9d6-5b4de113ed8e,0.31024184114977144,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.9928166494749592,16,potted plant,e6680a1b-b804-4601-8d51-8ff31b1c5255,0.125,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
1,0.0,0.03636363636363636,0.0,0.0,0.0,True,5,rug,0.0,17,power outlet,ba978909-8c9f-40bf-a313-897fe724a871,0.0790569415042095,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.9928166494749592,19,potted plant,e001d156-eb97-421e-b8db-840ae462d701,0.32210246816812815,20,potted plant,c24d74d6-16cb-4111-b207-79e4c653454b,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,2.0923725898486034e-07,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.09354143466934854,22,power outlet,8f4d542e-9aa7-42bc-b18a-e1eae2ddc61b,office0,0.025
0,0.003436426116838488,0.020618556701030927,0.0,0.0,0.0,False,,,0.0,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.04330127018922193,24,power outlet,61c35cbf-d0bc-4623-adc6-434dd0159dc7,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.007593728385701298,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.46970735570139843,25,tissue box,e67ecfce-00ab-4f41-97e2-ab363fefea89,office0,0.025
0,0.0,0.0,0.0,0.0,0.0,False,,,0.000769179653046923,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.3181980515339464,27,book,34cc3c17-2b1c-4c4d-b9e5-fd551e206815,office0,0.025
0,0.006384213580963436,0.02640742890307603,2.8879680234242133e-05,0.00011945685915072882,0.0001644736842105263,True,58,table,0.004523608094872654,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.0,28,window,803f469d-7639-4541-a1d9-e7b503dfdda3,office0,0.025
0,0.0,0.375,0.0,0.0,0.0,False,,,0.0,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.07500000000000001,29,power outlet,7ac0a668-0ac4-4a1a-a488-4226a928e0f6,office0,0.025
0,0.02830188679245283,0.05345911949685535,0.004696667462262133,0.008871482984272918,0.0,False,,,0.1659489169999287,21,sofa chair,988a8dab-de7d-42db-9fd2-c902bd5b5ffe,0.025,31,pillow,1bbcdac1-983a-480e-b589-d152c490f1b6,office0,0.025
0,0.852752880921895,0.9667093469910372,0.37293954494790704,0.42277681146496965,0.0449938195302843,False,,,0.43733601291939245,23,paper bag,3c112d35-f177-4fae-8fde-d983c93e0169,0.0,28,window,803f469d-7639-4541-a1d9-e7b503dfdda3,office0,0.025
0,0.39880952380952384,0.6607142857142857,0.0832920626302997,0.13799132764124278,0.0267515923566879,False,,,0.20885173913269178,25,tissue box,e67ecfce-00ab-4f41-97e2-ab363fefea89,0.0,27,book,34cc3c17-2b1c-4c4d-b9e5-fd551e206815,office0,0.025
