both_positive_ap_lift,mean_auroc,min_auroc,office0_auroc,room0_auroc,score,target
True,0.7464285714285714,0.6833333333333332,0.8095238095238095,0.6833333333333332,voxel_second_region_size_residual,sidecar_conservative_association
True,0.6821428571428572,0.680952380952381,0.680952380952381,0.6833333333333332,combined_mean,sidecar_conservative_association
True,0.7768048449866631,0.6693121693121693,0.884297520661157,0.6693121693121693,nonspatial_owner_label_entropy,sidecar_strict_mask
True,0.8333333333333334,0.6666666666666667,0.6666666666666667,1.0,combined_top2_mean,geometry_overmerge_2cm
True,0.8333333333333334,0.6666666666666667,0.6666666666666667,1.0,combined_top2_mean,geometry_overmerge_5cm
True,0.8333333333333334,0.6666666666666667,0.6666666666666667,1.0,combined_top2_mean,geometry_overmerge_7cm
True,0.7261904761904763,0.6666666666666667,0.6666666666666667,0.7857142857142857,multi_owner_voxel_fraction,geometry_overmerge_2cm
True,0.7261904761904763,0.6666666666666667,0.6666666666666667,0.7857142857142857,multi_owner_voxel_fraction,geometry_overmerge_5cm
True,0.7261904761904763,0.6666666666666667,0.6666666666666667,0.7857142857142857,multi_owner_voxel_fraction,geometry_overmerge_7cm
True,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,framebalanced_mean_disagreement_size_residual,geometry_partition_2cm
True,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,frozen_semantic_max,geometry_partition_2cm
True,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,framebalanced_mean_disagreement_size_residual,geometry_partition_5cm
True,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,frozen_semantic_max,geometry_partition_5cm
True,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,framebalanced_mean_disagreement_size_residual,geometry_partition_7cm
True,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,frozen_semantic_max,geometry_partition_7cm
True,0.7226219180213114,0.6630434782608696,0.6630434782608696,0.7822003577817532,size_object_voxels,sidecar_conservative_unified
True,0.7447616084623161,0.6547406082289803,0.834782608695652,0.6547406082289803,framebalanced_mean_disagreement,sidecar_conservative_unified
True,0.6500686813186813,0.6483516483516483,0.6517857142857143,0.6483516483516483,mean_owner_entropy_size_residual,sidecar_strict_association
True,0.7488095238095238,0.6476190476190476,0.6476190476190476,0.8500000000000001,foreign_owner_link_fraction,sidecar_conservative_association
True,0.6738095238095239,0.6476190476190476,0.6476190476190476,0.7,voxel_majority_entropy,sidecar_conservative_association
True,0.735897435897436,0.6384615384615384,0.8333333333333334,0.6384615384615384,framebalanced_mean_disagreement,sidecar_strict_unified
True,0.7453703703703705,0.6296296296296297,0.8611111111111112,0.6296296296296297,framebalanced_mean_disagreement,sidecar_conservative_mask
True,0.6559523809523808,0.6285714285714286,0.6285714285714286,0.6833333333333332,pair_conflict,sidecar_conservative_association
True,0.6335648148148149,0.6245370370370371,0.6425925925925926,0.6245370370370371,framebalanced_semantic_mean,sidecar_conservative_mask
True,0.7185457516339869,0.6176470588235294,0.8194444444444444,0.6176470588235294,size_num_detections,sidecar_original_association
True,0.6425137362637363,0.6153846153846153,0.6696428571428572,0.6153846153846153,voxel_second_region,sidecar_strict_association
True,0.6125,0.6074074074074074,0.6074074074074074,0.6175925925925926,framebalanced_majority_entropy_size_residual,sidecar_conservative_mask
True,0.6387362637362637,0.6071428571428571,0.6071428571428571,0.6703296703296704,mean_owner_entropy,sidecar_strict_association
True,0.6342592592592593,0.6055555555555556,0.6055555555555556,0.662962962962963,voxel_second_fraction,sidecar_conservative_mask
True,0.6548763736263736,0.6043956043956044,0.7053571428571429,0.6043956043956044,voxel_second_region_size_residual,sidecar_strict_association
True,0.6236263736263736,0.6043956043956044,0.6428571428571428,0.6043956043956044,voxel_second_fraction,sidecar_strict_association
True,0.611574074074074,0.6037037037037036,0.6037037037037036,0.6194444444444444,framebalanced_majority_entropy,sidecar_conservative_mask
True,0.7137773842319297,0.6031746031746031,0.8243801652892562,0.6031746031746031,framebalanced_mean_disagreement,sidecar_strict_mask
True,0.675,0.6000000000000001,0.6000000000000001,0.75,mean_owner_entropy_size_residual,sidecar_conservative_association
True,0.6067994505494505,0.5982142857142857,0.5982142857142857,0.6153846153846154,multi_owner_voxel_fraction,sidecar_strict_association
True,0.5988425925925926,0.588425925925926,0.6092592592592593,0.588425925925926,persistent_conflict_fraction,sidecar_conservative_mask
True,0.6310185185185184,0.586111111111111,0.6759259259259259,0.586111111111111,voxel_mean_disagreement,sidecar_conservative_mask
True,0.6309912854030502,0.5860566448801743,0.675925925925926,0.5860566448801743,framebalanced_majority_entropy,sidecar_original_association
True,0.7916666666666667,0.5833333333333334,0.5833333333333334,1.0,frozen_combined_max,geometry_overmerge_2cm
True,0.7916666666666667,0.5833333333333334,0.5833333333333334,1.0,frozen_combined_max,geometry_overmerge_5cm
True,0.7916666666666667,0.5833333333333334,0.5833333333333334,1.0,frozen_combined_max,geometry_overmerge_7cm
