ap_lift,ap_lift_ci_high,ap_lift_ci_low,auroc,auroc_ci_high,auroc_ci_low,average_precision,bottom20_error_rate,n,permutation_p_auroc_gt_half,positives,prevalence,scene,score,task,top20_error_rate
0.13662718008259384,0.29861048602016854,0.025057449323846712,0.6384615384615384,0.7641025641025642,0.5042735042735043,0.571409788778246,0.21428571428571427,69,0.026297370262973702,30,0.43478260869565216,room0,frame-balanced voxel disagreement,strict unified,0.6428571428571429
0.21626567876567848,0.2561568881752306,0.16589242202729046,0.8333333333333334,0.9513888888888888,0.6851851851851851,0.9435384060384058,0.42857142857142855,33,0.0006999300069993001,24,0.7272727272727273,office0,frame-balanced voxel disagreement,strict unified,1.0
0.04745636785902624,0.19314659751037375,-0.04017969079722848,0.5470085470085471,0.6820512820512821,0.41025641025641024,0.4822389765546784,0.2857142857142857,69,0.25337466253374663,30,0.43478260869565216,room0,frame-balanced voxel disagreement | size residual,strict unified,0.42857142857142855
0.09247454767530139,0.178255536548223,-0.0004032260076169526,0.5462962962962963,0.7361111111111112,0.3425925925925926,0.8197472749480287,0.7142857142857143,33,0.3558644135586441,24,0.7272727272727273,office0,frame-balanced voxel disagreement | size residual,strict unified,1.0
0.18315600105308188,0.32776590373882514,0.0656276882460963,0.6923076923076923,0.8106944444444443,0.5683760683760684,0.617938609748734,0.14285714285714285,69,0.0015998400159984002,30,0.43478260869565216,room0,nonspatial label entropy,strict unified,0.6428571428571429
0.2386363636363633,0.2727272727272727,0.19318181818181834,0.9375,1.0,0.8541666666666667,0.9659090909090906,0.0,33,9.999000099990002e-05,24,0.7272727272727273,office0,nonspatial label entropy,strict unified,1.0
0.09101521100771287,0.25408630755608586,-0.014326381191179495,0.5658119658119658,0.7136752136752137,0.4170940170940171,0.525797819703365,0.5714285714285714,69,0.18098190180981902,30,0.43478260869565216,room0,nonspatial label entropy | size residual,strict unified,0.5
0.15970674281007824,0.22160557771540368,0.08688271838819747,0.6574074074074076,0.8333333333333333,0.4722222222222222,0.8869794700828055,0.8571428571428571,33,0.07929207079292071,24,0.7272727272727273,office0,nonspatial label entropy | size residual,strict unified,1.0
0.30770891814931817,0.4288759696133718,0.18658654418385093,0.7940170940170941,0.8876175213675211,0.6820512820512821,0.7424915268449703,0.0,69,9.999000099990002e-05,30,0.43478260869565216,room0,number of detections,strict unified,0.7857142857142857
0.2727272727272727,0.27272727272727293,0.2727272727272726,1.0,1.0,1.0,1.0,0.0,33,9.999000099990002e-05,24,0.7272727272727273,office0,number of detections,strict unified,1.0
0.09525001245021447,0.2914074767881852,0.01041473378868516,0.6296296296296297,0.762962962962963,0.49722222222222223,0.4430760994067362,0.14285714285714285,69,0.0395960403959604,24,0.34782608695652173,room0,frame-balanced voxel disagreement,conservative mask,0.5
0.3497919836155132,0.4348086124401914,0.2463422288259246,0.8611111111111112,0.9740740740740741,0.7222222222222222,0.8952465290700586,0.14285714285714285,33,0.00029997000299970003,18,0.5454545454545454,office0,frame-balanced voxel disagreement,conservative mask,1.0
0.020722164568888257,0.1737992826388471,-0.03959840189282419,0.5407407407407407,0.687037037037037,0.40555555555555556,0.36854825152541,0.21428571428571427,69,0.2930706929307069,24,0.34782608695652173,room0,frame-balanced voxel disagreement | size residual,conservative mask,0.35714285714285715
0.1520617400817743,0.3031025809110847,0.009053946551554594,0.6111111111111112,0.7999999999999999,0.40370370370370373,0.6975162855363197,0.2857142857142857,33,0.1483851614838516,18,0.5454545454545454,office0,frame-balanced voxel disagreement | size residual,conservative mask,0.7142857142857143
0.10561660561660563,0.47318877551020316,-0.019047619047619035,0.6043956043956044,0.8571428571428572,0.32967032967032966,0.4556166056166056,0.25,20,0.24717528247175283,7,0.35,room0,second-label 3D region | size residual,strict association,0.5
0.15449648794711224,0.2685608056866911,0.032582840026244335,0.7053571428571429,0.9285714285714285,0.44642857142857145,0.8501486618601557,0.4,23,0.06229377062293771,16,0.6956521739130435,office0,second-label 3D region | size residual,strict association,0.8
0.23015873015873012,0.5119230769230767,0.014092261904761925,0.6483516483516483,0.9010989010989011,0.3736263736263736,0.5801587301587301,0.25,20,0.15978402159784022,7,0.35,room0,mean owner entropy | size residual,strict association,0.5
0.09271122459934877,0.2735815722169874,-0.05444918810751548,0.6517857142857143,0.9285714285714286,0.3303571428571429,0.7883633985123922,0.4,23,0.13358664133586642,16,0.6956521739130435,office0,mean owner entropy | size residual,strict association,0.6
0.1307239057239058,0.5357142857142856,5.551115123125783e-17,0.6833333333333332,0.9333333333333332,0.4,0.5057239057239058,0.0,16,0.1294870512948705,6,0.375,room0,second-label 3D region | size residual,conservative association,0.5
0.22641196522775464,0.3058942364824718,0.12645429381420084,0.8095238095238095,0.9714285714285714,0.5997619047619048,0.9082301470459364,0.4,22,0.009999000099990002,15,0.6818181818181818,office0,second-label 3D region | size residual,conservative association,1.0
0.2787037037037037,0.5535714285714286,0.05814093314093316,0.75,0.9500000000000001,0.48333333333333334,0.6537037037037037,0.0,16,0.0570942905709429,6,0.375,room0,mean owner entropy | size residual,conservative association,0.5
0.06999984249210256,0.23718632769735687,-0.07021047653613426,0.6000000000000001,0.8761904761904762,0.2857142857142857,0.7518180243102843,0.4,22,0.2253774622537746,15,0.6818181818181818,office0,mean owner entropy | size residual,conservative association,0.6
