scope,n_exclude,num_classes,point_count,miou,mrecall,mprecision,mf1score,fmiou,point_accuracy,acc0.15,acc0.25,acc0.50,acc0.75
room0,6,23,4085377,21.55000552842769,38.395104431426944,29.50385152889712,25.435641119226908,50.64034484751243,59.14810310039931,7,6,6,3
room1,6,19,3772646,24.550578585143416,42.951188897057825,32.95752399130465,29.549717417095266,42.775473504441386,54.44518250585928,7,7,4,2
room2,6,16,3513164,26.75509218869334,39.40038777617861,40.73923041131835,32.000887341562354,34.97561460830309,37.22325516258279,7,6,4,3
office0,6,19,4079896,21.793197266702265,40.555002611124216,26.2530655906959,25.70713856343825,33.12591415597954,36.26050762078249,7,6,4,2
office1,6,17,3337612,15.933049556296877,32.86892212483511,17.113661533965153,18.77934634390626,16.075308272421562,28.17065015346302,3,3,3,2
office2,6,15,3226799,26.095550562091464,40.48687055041116,38.67234863192797,31.481158505084515,40.961708687866164,42.7099115873037,6,6,4,2
office3,6,21,2792153,21.706510170113745,35.84372412036219,26.132597463622155,25.138684544399055,36.03587925955196,43.63632651935621,7,5,5,3
office4,6,10,1071540,47.1702508532765,61.34180694421637,55.53286816921907,51.75742968928423,49.230064756567124,50.525598671071535,6,6,5,4
all_8_scenes,6,46,26203935,24.854752743897148,40.64905793741739,36.31107483812544,30.411836286892342,36.470479714188365,43.25967454887978,21,17,12,5
