audit_association_coverage,audit_association_loose,audit_association_repeated,audit_dominant_count,audit_dominant_fraction,audit_dominant_gt_id,audit_dominant_gt_label,audit_eligible_observations,audit_gt_hist,audit_gt_label_hist,audit_mask_any,audit_mask_repeated,audit_mask_severe,audit_merge_membership_repeated,audit_mixed_mask_fraction,audit_mixed_mask_observations,audit_observation_coverage,audit_overmerge_cross_class,audit_overmerge_repeated,audit_overmerge_same_class,audit_pure_observations,audit_second_count,audit_split_incident,audit_spurious_background,audit_unified_plus_spurious,audit_unified_repeated,audit_wrong_association_fraction,audit_wrong_association_observations,best_duplicate_pair_score,combined_anomaly_score,connected_components_26,duplicate_conflict_score,evidence_coverage,evidence_scope,evidence_supported_voxels,fragmentation_rank,fragmentation_score,gt_dominant_fraction,gt_dominant_id,gt_dominant_label,gt_eligible_member_observations,gt_false_split_incident,gt_identity_error,gt_overlap_hist,gt_overmerge,gt_overmerge_cross_class,gt_overmerge_same_class,gt_second_fraction,gt_second_id,gt_second_label,gt_substantial_instances,gt_supported_fraction,gt_supported_voxels,has_association_evidence_error,has_mask_evidence_error,is_background,label_hist,label_vote_entropy,largest_component_fraction,major_connected_components_26,major_label_region_count,mean_seen_count,mean_voxel_disagreement,median_seen_count,member_observations,mixed_mask_fraction,mixed_mask_observations,nonspatial_label_score,num_detections,object_index,object_uid,object_voxels,owner_label_entropy,predicted_label,primary_evidence_label,primary_evidence_label_id,pure_member_observations,rank,scene,second_evidence_label,second_evidence_label_id,second_label_largest_region_fraction,semantic_conflict_score,stable_evidence_voxels,voxel_majority_entropy,voxel_majority_second_fraction,voxel_majority_top_fraction,voxel_size_m,wrong_association_fraction,wrong_association_observations
False,False,False,0,0.0,,,1,{},{},True,False,False,False,1.0,1,True,False,False,False,0,0,False,False,False,False,0.0,0,0.0,0.9710144927536232,1,0.06521739130434782,1.0,all_history,327,0.45652173913043476,0.0,0.8348623853211009,33,wall,1,False,True,"[{""gt_id"": 33, ""gt_label"": ""wall"", ""pred_fraction"": 0.8348623853211009, ""voxels"": 273}, {""gt_id"": 61, ""gt_label"": ""window"", ""pred_fraction"": 0.30275229357798167, ""voxels"": 99}, {""gt_id"": 88, ""gt_label"": ""ceiling"", ""pred_fraction"": 0.23547400611620795, ""voxels"": 77}, {""gt_id"": 36, ""gt_label"": ""door"", ""pred_fraction"": 0.009174311926605505, ""voxels"": 3}]",True,True,False,0.30275229357798167,61,window,3,0.963302752293578,315,False,True,False,"{""35"": 108, ""36"": 327}",0.8085339765486709,1.0,1,3,1.3302752293577982,0.3139991181657848,1.0,1,1.0,1,0.2391304347826087,1,26,0905ee98-8adf-4b2c-8bce-40baa829fb79,327,0.0,ceiling light,ceiling light,36,0,11,room0,ceiling,35,0.3888888888888889,0.9710144927536232,36,0.5001926210998139,0.11009174311926606,0.8899082568807339,0.05,0.0,0
True,False,False,227,1.0,19,blinds,228,"{""19"": 227}","{""blinds"": 227}",True,False,False,False,0.0043859649122807015,1,True,False,False,False,227,0,True,False,True,True,0.0,0,0.998329144382115,0.9710144927536232,1,0.8478260869565217,1.0,all_history,130,0.45652173913043476,0.0,0.9846153846153847,19,blinds,228,True,True,"[{""gt_id"": 19, ""gt_label"": ""blinds"", ""pred_fraction"": 0.9846153846153847, ""voxels"": 128}]",False,False,False,0.0,,,1,0.9846153846153847,128,False,True,False,"{""1"": 9849, ""125"": 20506, ""159"": 5065, ""37"": 2893, ""58"": 62, ""77"": 227}",0.6617787774009947,1.0,1,4,296.9384615384615,0.2542853741675499,222.0,228,0.0043859649122807015,1,0.4782608695652174,228,41,021914e2-bff1-40e8-9906-a41dbb050528,130,0.04066849392334827,pillow,pillow,125,227,12,room0,armchair,1,0.23076923076923078,0.9710144927536232,130,0.8716836171199819,0.2923076923076923,0.7076923076923077,0.05,0.0,0
False,False,False,0,0.0,,,1,{},{},True,False,False,False,1.0,1,True,False,False,False,0,0,False,False,False,False,0.0,0,0.9983567156703687,0.9710144927536232,2,0.8768115942028986,1.0,all_history,21,0.9710144927536232,0.1428571428571429,0.0,,,1,False,False,[],False,False,False,0.0,,,0,0.0,0,False,True,False,"{""1"": 1307, ""125"": 3709, ""159"": 1097, ""37"": 297, ""53"": 17, ""77"": 7}",0.6183951437692677,0.8571428571428571,2,2,306.3809523809524,0.27588999448618906,256.0,1,1.0,1,0.2391304347826087,1,49,fb8ff2e2-9de0-4000-95de-1cb5cd23b41e,21,0.0,pillow,pillow,125,0,13,room0,armchair,1,0.14285714285714285,0.7246376811594203,21,0.5916727785823274,0.14285714285714285,0.8571428571428571,0.05,0.0,0
False,False,False,1,1.0,0,unknown,1,"{""0"": 1}","{""unknown"": 1}",False,False,False,False,0.0,0,True,False,False,False,1,0,False,False,False,False,0.0,0,0.9991330730923519,0.9710144927536232,1,0.9710144927536232,1.0,all_history,4,0.45652173913043476,0.0,1.0,88,ceiling,1,True,True,"[{""gt_id"": 88, ""gt_label"": ""ceiling"", ""pred_fraction"": 1.0, ""voxels"": 4}]",False,False,False,0.0,,,1,1.0,4,True,False,False,"{""92"": 10}",0.0,1.0,1,1,2.5,0.0,2.5,3,0.0,0,0.2391304347826087,3,56,9298f2d5-9b84-4807-a60d-3529209caf3c,4,0.0,lamp,lamp,92,1,14,room0,,,0.0,0.12318840579710146,4,0.0,0.0,1.0,0.05,1.0,1
False,False,False,0,0.0,,,2,{},{},True,True,True,True,1.0,2,True,False,False,False,0,0,False,False,True,True,0.0,0,0.4529461721370819,0.9565217391304348,1,0.45652173913043476,1.0,all_history,7,0.45652173913043476,0.0,1.0,39,stool,2,False,True,"[{""gt_id"": 39, ""gt_label"": ""stool"", ""pred_fraction"": 1.0, ""voxels"": 7}, {""gt_id"": 60, ""gt_label"": ""rug"", ""pred_fraction"": 0.5714285714285714, ""voxels"": 4}]",True,True,False,0.5714285714285714,60,rug,2,1.0,7,False,True,False,"{""159"": 10, ""191"": 7, ""92"": 10}",0.9882677137067537,1.0,1,1,3.857142857142857,0.4533333333333333,4.0,2,1.0,2,0.2391304347826087,2,20,e0b22400-ef85-4fa7-a2cc-c1a9a2560507,7,0.0,sofa chair,lamp,92,0,15,room0,sofa chair,159,0.0,0.9565217391304348,5,0.8699155297736261,0.2857142857142857,0.5714285714285714,0.05,0.0,0
False,False,False,1,1.0,5,rug,4,"{""5"": 1}","{""rug"": 1}",True,True,True,True,0.75,3,True,False,False,False,1,0,False,False,True,True,0.0,0,0.8954008823360452,1.0,1,0.9848484848484849,1.0,all_history,195,0.4696969696969697,0.0,0.9692307692307692,5,rug,4,True,True,"[{""gt_id"": 5, ""gt_label"": ""rug"", ""pred_fraction"": 0.9692307692307692, ""voxels"": 189}]",False,False,False,0.0,,,1,0.9692307692307692,189,False,True,False,"{""1"": 168, ""127"": 39, ""131"": 6984, ""141"": 262, ""160"": 700, ""165"": 4093, ""183"": 3979, ""184"": 3534, ""25"": 711, ""27"": 180, ""29"": 192, ""45"": 171, ""51"": 180}",0.6976393154927112,1.0,1,1,108.68205128205128,0.6684739154182475,117.0,4,0.75,3,0.9393939393939394,4,12,6d8a2ab3-581c-4cfa-a26f-4d2ca2783e47,195,0.8112781244591328,storage bin,potted plant,131,1,1,office0,storage bin,165,0.005128205128205128,1.0,195,0.13632488991225192,0.020512820512820513,0.9641025641025641,0.05,0.0,0
False,False,False,1,1.0,0,unknown,1,"{""0"": 1}","{""unknown"": 1}",False,False,False,False,0.0,0,True,False,False,False,1,0,False,False,False,False,0.0,0,0.0,1.0,1,0.19696969696969696,1.0,all_history,8,0.4696969696969697,0.0,0.0,,,1,False,False,[],False,False,False,0.0,,,0,0.0,0,False,False,False,"{""132"": 8, ""76"": 3}",0.8453509366224364,1.0,1,1,1.375,0.5,1.0,1,0.0,0,0.19696969696969696,1,22,8f4d542e-9aa7-42bc-b18a-e1eae2ddc61b,8,0.0,power outlet,power outlet,132,1,2,office0,floor,76,1.0,1.0,3,0.954434002924965,0.375,0.625,0.05,0.0,0
True,True,True,22,0.5238095238095238,51,wall,60,"{""4"": 17, ""51"": 22, ""7"": 3}","{""chair"": 17, ""sofa"": 3, ""wall"": 22}",True,True,True,True,0.3,18,True,True,True,False,42,17,False,True,True,True,0.47619047619047616,20,0.6523978348230439,1.0,2,0.8333333333333334,1.0,all_history,60,1.0,0.1166666666666667,0.0,,,60,False,False,[],False,False,False,0.0,,,0,0.0,0,False,True,False,"{""109"": 241, ""117"": 7, ""128"": 666, ""157"": 1, ""159"": 2, ""172"": 76, ""173"": 38, ""174"": 178, ""182"": 205, ""21"": 962, ""23"": 17, ""24"": 138, ""25"": 18, ""48"": 1092, ""53"": 5, ""56"": 46, ""60"": 730, ""61"": 130, ""70"": 22, ""81"": 8, ""93"": 111}",0.7181849741098756,0.8833333333333333,2,3,78.21666666666667,0.5889273613577879,60.5,60,0.3,18,0.9090909090909091,60,27,34cc3c17-2b1c-4c4d-b9e5-fd551e206815,60,0.7928348615612854,book,book,21,42,3,office0,coffee table,48,0.31666666666666665,0.9696969696969697,60,0.7167754611097866,0.31666666666666665,0.5166666666666667,0.05,0.0,0
True,True,True,66,0.584070796460177,5,rug,174,"{""0"": 42, ""4"": 5, ""5"": 66}","{""chair"": 5, ""rug"": 66, ""unknown"": 42}",True,True,True,True,0.3505747126436782,61,True,True,True,False,113,42,True,False,True,True,0.415929203539823,47,0.8954008823360452,0.9848484848484849,1,0.9848484848484849,1.0,all_history,1773,0.4696969696969697,0.0,0.6192893401015228,5,rug,174,True,True,"[{""gt_id"": 5, ""gt_label"": ""rug"", ""pred_fraction"": 0.6192893401015228, ""voxels"": 1098}, {""gt_id"": 44, ""gt_label"": ""desk-organizer"", ""pred_fraction"": 0.2092498589960519, ""voxels"": 371}]",True,True,False,0.2092498589960519,44,desk-organizer,2,0.6514382402707276,1155,True,True,False,"{""1"": 364, ""108"": 39, ""117"": 168, ""127"": 3894, ""131"": 41235, ""136"": 21, ""141"": 725, ""143"": 106, ""160"": 1204, ""165"": 8000, ""183"": 8145, ""184"": 7075, ""187"": 43, ""197"": 59, ""25"": 1395, ""27"": 378, ""29"": 187, ""40"": 47, ""42"": 24, ""45"": 322, ""51"": 377, ""65"": 11, ""76"": 4}",0.4925943499352176,1.0,1,1,41.637337845459676,0.2869920413142354,26.0,174,0.3505747126436782,61,0.7272727272727273,174,14,11c2cbf2-0f87-4e84-9e34-027c95bc0095,1773,0.6279087343635478,potted plant,potted plant,131,113,4,office0,range hood,141,0.0006341154090044388,0.5151515151515151,1577,0.1751645325821428,0.019740552735476594,0.9244218838127467,0.05,0.415929203539823,47
False,False,False,1,1.0,5,rug,1,"{""5"": 1}","{""rug"": 1}",False,False,False,False,0.0,0,True,False,False,False,1,0,False,False,False,False,0.0,0,0.0,0.9848484848484849,1,0.19696969696969696,1.0,all_history,3,0.4696969696969697,0.0,1.0,0,unknown,1,False,True,"[{""gt_id"": 0, ""gt_label"": ""unknown"", ""pred_fraction"": 1.0, ""voxels"": 3}, {""gt_id"": 7, ""gt_label"": ""sofa"", ""pred_fraction"": 1.0, ""voxels"": 3}]",True,True,False,1.0,7,sofa,2,1.0,3,True,False,False,"{""132"": 3, ""76"": 1}",0.8112781244591328,1.0,1,0,1.3333333333333333,0.5,1.0,1,0.0,0,0.19696969696969696,1,29,7ac0a668-0ac4-4a1a-a488-4226a928e0f6,3,0.0,power outlet,power outlet,132,1,5,office0,floor,76,1.0,0.9848484848484849,1,0.9182958340544894,0.3333333333333333,0.6666666666666666,0.05,1.0,1
